method,repeats,calibration_positives,mean_danger_rate,median_danger_rate,danger_rate_q05,danger_rate_q95,median_danger_ucb,ucb_le_alpha_fraction,mean_safe_negative_rate,median_safe_negative_rate,safe_negative_rate_q05,safe_negative_rate_q95,mean_coverage_delta_vs_snapshot,median_coverage_delta_vs_snapshot,coverage_delta_q05,coverage_delta_q95,coverage_delta_positive_fraction,mean_danger_delta_vs_snapshot,danger_delta_q05,danger_delta_q95,danger_not_worse_fraction
catboost_snapshot,250,96.0,0.052375,0.052083333333333336,0.010416666666666666,0.11458333333333333,0.10638999304286162,0.452,0.6991440897325281,0.7018981880931838,0.6155737704918033,0.7889991371872302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
catboost_tail_aligned,250,96.0,0.052375,0.052083333333333336,0.010416666666666666,0.10416666666666667,0.10638999304286162,0.46,0.7328973252804142,0.7394305435720449,0.6598935864250791,0.8045872878918608,0.033753235547886104,0.030198446937014668,-0.03459879206212252,0.1034368708656888,0.8,0.0,-4.0,4.0,0.592
minimum,250,96.0,0.05308333333333333,0.052083333333333336,0.010416666666666666,0.11458333333333333,0.10638999304286162,0.46,0.7379119930974978,0.7480586712683348,0.6774374460742019,0.7970951970089157,0.0387679033649698,0.03810756399194708,-0.025625539257981018,0.11107276387690536,0.82,0.068,-4.0,4.0,0.58
