minimum_history_in_window,danger_k,danger_n,danger_rate,danger_ucb,safe_negative,negative_n,safe_negative_rate,median_first_safe_tca_days,rank_min,rank_max,threshold_min,threshold_max
1,12,192,0.0625,0.09929771751247034,5080,6954,0.730514811619212,4.8223193287037045,9,10,0.0018007895607862593,0.002736487801459164
3,12,192,0.0625,0.09929771751247034,5117,6954,0.7358354903652574,4.977052939814816,9,10,0.004347177160490307,0.01000173213838236
4,12,192,0.0625,0.09929771751247034,4897,6954,0.7041990221455278,5.124073900462964,9,10,0.009271988749428731,0.013807827587467337
5,11,192,0.057291666666666664,0.09304967333150466,4720,6954,0.6787460454414725,5.141076695601852,9,10,0.01670369847066608,0.022626844214161616
