minimum_history_in_window,gate_features,gate_alpha,danger_k,danger_n,danger_rate,danger_ucb,safe_negative,negative_n,safe_negative_rate,control_danger_k,control_danger_ucb,control_safe_negative,control_safe_negative_rate,delta_danger_k_vs_control,delta_safe_negative_vs_control,median_first_safe_tca_days,gate_blocked_events,gate_blocked_positive,gate_blocked_negative,policy_rank_min,policy_rank_max,policy_threshold_min,policy_threshold_max,gate_threshold_min,gate_threshold_max,fold_roles
1,risk,0.05,7,192,0.036458333333333336,0.06738606402861784,3927,6954,0.5647109577221743,7,0.06738606402861784,3927,0.5647109577221743,0,0,4.464480011574074,0,0,0,1,1,0.0001722408921818475,0.006761802815677392,1.014273081782774,1.0229387027094592,"0:train=3,4;gate_cal=2;policy_cal=1 | 1:train=0,4;gate_cal=3;policy_cal=2 | 2:train=0,1;gate_cal=4;policy_cal=3 | 3:train=1,2;gate_cal=0;policy_cal=4 | 4:train=2,3;gate_cal=1;policy_cal=0"
3,risk,0.05,7,192,0.036458333333333336,0.06738606402861784,3833,6954,0.5511935576646534,7,0.06738606402861784,3833,0.5511935576646534,0,0,4.319386944444443,0,0,0,1,1,0.0001722408921818475,0.006761802815677392,1.014273081782774,1.0229387027094592,"0:train=3,4;gate_cal=2;policy_cal=1 | 1:train=0,4;gate_cal=3;policy_cal=2 | 2:train=0,1;gate_cal=4;policy_cal=3 | 3:train=1,2;gate_cal=0;policy_cal=4 | 4:train=2,3;gate_cal=1;policy_cal=0"
4,risk,0.05,6,192,0.03125,0.06074369464762565,3586,6954,0.5156744319815934,6,0.06074369464762565,3586,0.5156744319815934,0,0,4.141561400462963,0,0,0,1,1,0.0001856930208711122,0.006761802815677392,1.014273081782774,1.0229387027094592,"0:train=3,4;gate_cal=2;policy_cal=1 | 1:train=0,4;gate_cal=3;policy_cal=2 | 2:train=0,1;gate_cal=4;policy_cal=3 | 3:train=1,2;gate_cal=0;policy_cal=4 | 4:train=2,3;gate_cal=1;policy_cal=0"
5,risk,0.05,3,192,0.015625,0.039886139801582635,3469,6954,0.49884958297382803,3,0.039886139801582635,3469,0.49884958297382803,0,0,4.125097986111111,0,0,0,1,1,0.00029081252214574796,0.006761802815677392,1.014273081782774,1.0229387027094592,"0:train=3,4;gate_cal=2;policy_cal=1 | 1:train=0,4;gate_cal=3;policy_cal=2 | 2:train=0,1;gate_cal=4;policy_cal=3 | 3:train=1,2;gate_cal=0;policy_cal=4 | 4:train=2,3;gate_cal=1;policy_cal=0"
