threshold,danger_k,danger_n,danger_ucb95,safe_neg,neg_n,safe_negative_rate,safe_all_rate,alpha,method
0.0004418083474045769,4.0,192.0,0.04703755834755209,3231.0,6954.0,0.4646246764452114,0.4527008116428771,0.05,CatBoost dynamic OOF
0.0030625986966265344,12.0,192.0,0.09929771751247034,5265.0,6954.0,0.7571182053494392,0.7384550797649034,0.1,CatBoost dynamic OOF
0.007881164203151898,20.0,192.0,0.147759916339339,5958.0,6954.0,0.8567730802415876,0.8365519171564512,0.15,CatBoost dynamic OOF
0.015514875028469252,28.0,192.0,0.19443666911399218,6328.0,6954.0,0.909979867702042,0.8894486425972572,0.2,CatBoost dynamic OOF
,,192.0,,0.0,6954.0,0.0,0.0,0.05,Current risk sequence
-12.580870692258024,12.0,192.0,0.09929771751247034,5045.0,6954.0,0.7254817371297095,0.707668625804646,0.1,Current risk sequence
-8.492413960236991,20.0,192.0,0.147759916339339,5908.0,6954.0,0.8495829738280126,0.8295549958018472,0.15,Current risk sequence
-7.619426996933112,28.0,192.0,0.19443666911399218,6243.0,6954.0,0.8977566867989646,0.8775538762944305,0.2,Current risk sequence
