minimum_cdm_history,repeats,mean_danger_rate,median_danger_rate,danger_q95,mean_safe_negative_rate,median_safe_negative_rate,coverage_q05,coverage_q95
1,250,0.052333333333333336,0.052083333333333336,0.11458333333333333,0.6933966062697727,0.6960023008340523,0.5923497267759563,0.7834339948231234
3,250,0.03625,0.03125,0.08333333333333333,0.6314650560828301,0.637043428242738,0.5198303134886396,0.73224043715847
4,250,0.025708333333333333,0.020833333333333332,0.0625,0.5190037388553351,0.5156744319815934,0.33011216566005175,0.6729508196721311
5,250,0.01966666666666667,0.010416666666666666,0.0625,0.4927259131435145,0.46074201898188094,0.3163646821972965,0.6467069312625827
