method,danger_k,danger_n,danger_rate,danger_ucb,safe_negative,negative_n,safe_negative_rate,median_first_safe_tca_days,coverage_gained_events,coverage_lost_events,coverage_net_events,coverage_delta,coverage_delta_ci_low,coverage_delta_ci_high,coverage_mcnemar_p,danger_gained_events,danger_lost_events,danger_net_events,danger_mcnemar_p,safety_feasible,pareto_frontier
catboost_snapshot,12,192,0.0625,0.09929771751247034,5117,6954,0.7358354903652574,4.977052939814816,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0,True,False
catboost_tail_aligned,12,192,0.0625,0.09929771751247034,5286,6954,0.7601380500431406,5.329607575231482,363,194,169,0.024302559677883234,0.017687661777394306,0.031205061834915157,7.331408863210966e-13,4,4,0,1.0,True,True
arithmetic_mean,13,192,0.06770833333333333,0.10549382850926546,5367,6954,0.771786022433132,5.315323715277779,262,12,250,0.0359505320678746,0.03134886396318665,0.04055220017256255,2.0210243401324536e-62,3,2,1,1.0,False,False
geometric_mean,13,192,0.06770833333333333,0.10549382850926546,5320,6954,0.7650273224043715,5.244302615740741,256,53,203,0.029191832039114178,0.024302559677883234,0.03422490652861662,4.596775364673203e-33,3,2,1,1.0,False,False
maximum,13,192,0.06770833333333333,0.10549382850926546,5310,6954,0.7635893011216566,5.264717922453704,204,11,193,0.027753810756399194,0.02372735116479724,0.03192407247627265,3.5165461287722103e-47,2,1,1,1.0,False,False
minimum,10,192,0.052083333333333336,0.08674338972820873,5237,6954,0.7530917457578372,5.160049745370372,301,181,120,0.01725625539257981,0.011072763876905378,0.02358354903652574,5.108246120193183e-08,3,5,-2,0.7265625,True,True
